,EXG Channel 0
702,324.5634777545929
703,361.9026389122009
704,431.1955052912235
705,373.0325811803341
706,324.32412415742874
707,390.1463633775711
708,387.39379701018333
709,346.70368549227715
710,366.57003405690193
711,415.87687507271767
712,327.1963673233986
713,331.2653784751892
714,366.92906445264816
715,365.37326607108116
716,346.58400869369507
717,406.4224079847336
718,383.4444626569748
719,337.24921840429306
720,356.7565365731716
721,418.3900878429413
722,335.4540664255619
723,340.7198455631733
724,412.6456015110016
725,345.3872407078743
726,314.98933386802673
727,395.8908497095108
728,302.30359321832657
729,358.910718947649
730,395.17278891801834
731,308.2874331474304
732,326.95701372623444
733,345.62659430503845
734,386.79541301727295
735,332.46214646101
736,368.245509237051
737,404.98628640174866
738,374.1096723675728
739,337.4885720014572
740,368.12583243846893
741,356.2778293788433
742,304.2184219956398
743,374.5883795619011
744,411.0898031294346
745,345.2675639092922
746,330.1882872879505
747,401.1566288471222
748,353.0465558171272
749,340.95919916033745
750,404.50757920742035
751,365.37326607108116
752,329.2308728992939
753,354.3630006015301
754,374.468702763319
755,369.9209844172001
756,366.92906445264816
757,429.99873730540276
758,334.9753592312336
759,332.8211768567562
760,368.7242164313793
761,352.44817182421684
762,313.0745050907135
763,361.6632853150368
764,416.355582267046
765,347.78077667951584
766,344.54950311779976
767,397.68600168824196
768,353.0465558171272
769,328.51281210780144
770,411.4488335251808
771,392.7792529463768
772,340.00178477168083
773,341.91661354899406
774,381.7689874768257
775,328.2734585106373
776,347.4217462837696
777,376.26385474205017
778,351.96946462988853
779,350.5333430469036
780,371.8358131945133
781,366.3306804597378
782,336.89018800854683
783,353.6449398100376
784,381.4099570810795
785,355.9187989830971
786,354.243323802948
787,402.47307363152504
788,337.84760239720345
789,316.7844858467579
790,388.1118578016758
791,355.2007381916046
792,324.9225081503391
793,383.9231698513031
794,370.3996916115284
795,339.28372398018837
796,353.1662326157093
797,365.7322964668274
798,335.4540664255619
799,311.0399995148182
800,374.468702763319
801,379.7344819009304
802,345.2675639092922
803,374.82773315906525
804,385.9576754271984
805,339.7624311745167
806,329.350549697876
807,327.5553977191448
808,394.57440492510796
809,337.0098648071289
810,353.6449398100376
811,406.9011151790619
812,359.9878101348877
813,343.59208872914314
814,336.77051120996475
815,328.39313530921936
816,332.58182325959206
817,400.6779216527939
818,425.45101895928383
819,311.0399995148182
820,325.5208921432495
821,399.36147686839104
822,340.6001687645912
823,341.1985527575016
824,373.6309651732445
825,394.8137585222721
826,357.2352437674999
827,351.37108063697815
828,382.4870482683182
829,340.95919916033745
830,344.3101495206356
831,399.4811536669731
832,349.4562518596649
833,353.7646166086197
834,366.689710855484
835,343.59208872914314
836,325.76024574041367
837,376.024501144886
838,398.76309287548065
839,326.83733692765236
840,332.46214646101
841,421.8607150018215
842,311.0399995148182
843,355.08106139302254
844,361.78296211361885
845,313.79256588220596
846,381.17060348391533
847,423.8952205777168
848,373.0325811803341
849,347.18239268660545
850,393.2579601407051
851,371.8358131945133
