EXG Channel 0,EXG Channel 1,Timestamp,Timestamp (Formatted)
 -457.4047241806984, 478.94654792547226, 1.738099508852383E9, 2025-01-28 13:25:08.852
 -590.9640313982964, 348.4988374710083, 1.738099508852432E9, 2025-01-28 13:25:08.852
 -429.8790605068207, 526.0992065668106, 1.738099508879141E9, 2025-01-28 13:25:08.879
 -396.60891050100327, 563.6777213215828, 1.7380995088791952E9, 2025-01-28 13:25:08.879
 -580.6718267202377, 386.0773522257805, 1.738099508879505E9, 2025-01-28 13:25:08.879
 -471.5265864133835, 493.7864709496498, 1.738099508879537E9, 2025-01-28 13:25:08.879
 -382.9657554626465, 586.4163130521774, 1.7380995088803945E9, 2025-01-28 13:25:08.880
 -550.2739198803902, 424.134574174881, 1.7380995088804307E9, 2025-01-28 13:25:08.880
 -582.3473019003868, 403.3108112215996, 1.7380995089093108E9, 2025-01-28 13:25:08.909
 -378.6573907136917, 599.5807608962059, 1.7380995089093604E9, 2025-01-28 13:25:08.909
 -482.7762054800987, 510.78057634830475, 1.7380995089096355E9, 2025-01-28 13:25:08.909
 -617.5322806835175, 385.11993783712387, 1.738099508909668E9, 2025-01-28 13:25:08.909
 -445.4370443224907, 556.0184062123299, 1.7380995089104E9, 2025-01-28 13:25:08.910
 -408.8159439563751, 589.7672634124756, 1.738099508910502E9, 2025-01-28 13:25:08.910
 -622.5587062239647, 382.72640186548233, 1.7380995089692175E9, 2025-01-28 13:25:08.969
 -518.918598651886, 499.29160368442535, 1.7380995089692848E9, 2025-01-28 13:25:08.969
 -397.3269712924957, 622.5587062239647, 1.7380995089695737E9, 2025-01-28 13:25:08.969
 -558.4119421839714, 464.585332095623, 1.738099508969632E9, 2025-01-28 13:25:08.969
 -580.4324731230736, 453.8144202232361, 1.738099508970119E9, 2025-01-28 13:25:08.970
 -423.17715978622437, 616.5748662948608, 1.7380995089701624E9, 2025-01-28 13:25:08.970
 -517.7218306660652, 521.7908418178558, 1.7380995089707873E9, 2025-01-28 13:25:08.970
 -639.0741044282913, 404.7469328045845, 1.7380995089708276E9, 2025-01-28 13:25:08.970
 -493.54711735248566, 558.8906493782997, 1.7380995089715657E9, 2025-01-28 13:25:08.971
 -448.0699338912964, 603.4104184508324, 1.738099508971608E9, 2025-01-28 13:25:08.971
 -653.6746738553047, 400.6779216527939, 1.7380995089724395E9, 2025-01-28 13:25:08.972
 -543.0933119654655, 513.6528195142746, 1.738099508972497E9, 2025-01-28 13:25:08.972
 -588.809849023819, 472.9627079963684, 1.738099508999146E9, 2025-01-28 13:25:08.999
 -626.8670709729195, 442.3254475593567, 1.7380995089992666E9, 2025-01-28 13:25:08.999
 -433.23001086711884, 637.8773364424706, 1.7380995089999015E9, 2025-01-28 13:25:08.999
 -531.1256321072578, 544.2900799512863, 1.738099508999946E9, 2025-01-28 13:25:08.999
 -669.4720112681389, 407.14046877622604, 1.7380995090292163E9, 2025-01-28 13:25:09.029
 -488.7600454092026, 588.809849023819, 1.738099509029281E9, 2025-01-28 13:25:09.029
 -460.5163209438324, 620.4045238494873, 1.7380995090296144E9, 2025-01-28 13:25:09.029
 -654.153381049633, 432.03324288129807, 1.738099509029652E9, 2025-01-28 13:25:09.029
 -566.7893180847168, 516.5250626802444, 1.7380995090305877E9, 2025-01-28 13:25:09.030
 -427.246170938015, 659.4191601872444, 1.7380995090306334E9, 2025-01-28 13:25:09.030
 -621.1225846409798, 480.14331591129303, 1.7380995090594118E9, 2025-01-28 13:25:09.059
 -652.9566130638123, 483.4942662715912, 1.738099509059478E9, 2025-01-28 13:25:09.059
 -471.28723281621933, 681.2003375291824, 1.738099509059946E9, 2025-01-28 13:25:09.059
 -581.3898875117302, 574.4486331939697, 1.7380995090600207E9, 2025-01-28 13:25:09.060
 -704.8963436484337, 454.2931274175644, 1.7380995090606036E9, 2025-01-28 13:25:09.060
 -530.1682177186012, 634.7657396793365, 1.7380995090606644E9, 2025-01-28 13:25:09.060
 -507.66897958517075, 654.6320882439613, 1.738099509089698E9, 2025-01-28 13:25:09.089
 -707.0505260229111, 459.0801993608475, 1.7380995090897534E9, 2025-01-28 13:25:09.089
 -593.8362745642662, 576.6028155684471, 1.738099509090014E9, 2025-01-28 13:25:09.090
 -465.0640392899513, 706.8111724257469, 1.738099509090063E9, 2025-01-28 13:25:09.090
 -654.153381049633, 516.5250626802444, 1.7380995090911245E9, 2025-01-28 13:25:09.091
 -687.1841774582863, 489.2387526035309, 1.7380995090911677E9, 2025-01-28 13:25:09.091
 -497.85548210144043, 680.2429231405258, 1.738099509119121E9, 2025-01-28 13:25:09.119
 -588.809849023819, 585.698252260685, 1.7380995091192167E9, 2025-01-28 13:25:09.119
 -728.3529961705208, 458.60149216651917, 1.7380995091194384E9, 2025-01-28 13:25:09.119
 -528.0140353441238, 658.2223922014236, 1.7380995091194935E9, 2025-01-28 13:25:09.119
 -515.5676482915878, 677.6100335717201, 1.7380995091203516E9, 2025-01-28 13:25:09.120
 -717.821437895298, 467.9362824559212, 1.7380995091203983E9, 2025-01-28 13:25:09.120
 -636.6805684566498, 565.1138429045677, 1.7380995091490695E9, 2025-01-28 13:25:09.149
 -480.62202310562134, 712.7950123548508, 1.73809950914914E9, 2025-01-28 13:25:09.149
 -674.9771440029144, 524.4237313866615, 1.7380995091493676E9, 2025-01-28 13:25:09.149
 -704.4176364541054, 497.85548210144043, 1.7380995091494904E9, 2025-01-28 13:25:09.149
 -514.6102339029312, 686.4661166667938, 1.7380995091505027E9, 2025-01-28 13:25:09.150
 -595.9904569387436, 608.6761975884438, 1.738099509150582E9, 2025-01-28 13:25:09.150
 -753.7244774699211, 461.473735332489, 1.7380995091790504E9, 2025-01-28 13:25:09.179
 -561.0448317527771, 648.4088947176933, 1.7380995091791096E9, 2025-01-28 13:25:09.179
 -518.6792450547218, 683.1151663064957, 1.7380995091796348E9, 2025-01-28 13:25:09.179
 -726.1988137960434, 482.53685188293457, 1.7380995091796832E9, 2025-01-28 13:25:09.179
 -628.3031925559044, 589.7672634124756, 1.738099509180892E9, 2025-01-28 13:25:09.180
 -489.95681339502335, 719.7362666726112, 1.738099509180945E9, 2025-01-28 13:25:09.180
 -673.5410224199295, 539.7423616051674, 1.7380995092091937E9, 2025-01-28 13:25:09.209
